#id,title,author,keyword 1,keyword 2,year,venue,,,,,,
a01001,1.000 Antworten auf die Frage: Literaturverwaltung ﾗ Was benutzen Sie, was brauchen Sie?,Heller, Lambert,Literaturverwaltung,,2012,,,,,
a010010,arXiv - Who pays? Auf der Suche nach Nachhaltigkeit /,Tobschall, Esther,Open Access,,2012,,,,,,
a010011,Aspekte der Kommunikation mit Twitter,Heller, Lambert,Kommunikation,Open Science,2014,,,,,,
a010012,Aspekte der Kommunikation mit Wissenschaftsblogs,Heller, Lambert,Kommunikation,Open Science,2014,,,,,,
a010013,Benefits of geographical, organizational and collection factors in digital preservation cooperations: The experience of the Goportis consortium,Lindlar, Michelle,Langzeitarchivierung,,2012,LIBER 41st Annual Conference,,,,
a010014,Bibliotheksverb�nde, Virtuelle Fachbibliotheken,Hohlfeld, Michael,Digitale Bibliothek,Virtuelle Fachbibliotheken,2014,,,,,
a010014,Bibliotheksverb�nde, Virtuelle Fachbibliotheken,Rosemann, Uwe,Digitale Bibliothek,Virtuelle Fachbibliotheken,2014,,,,,
a010014,Bibliotheksverb�nde, Virtuelle Fachbibliotheken,Tempel, Bernhard,Digitale Bibliothek,Virtuelle Fachbibliotheken,2014,,,,,
a010015,Building Information Modeling ﾖ A Game Changer for Interoperability and a Chance for Digital Preservation of Architectural Data?,Lindlar, Michelle,Langzeitarchivierung,,2013,European Conference on Data Analysis 2013. Book of Abstracts,,,,,
a010016,Confluence for Knowledge. Der 80. IFLA-Weltkongress in Lyon,Wilhelm, Christine,Bibliothek,,2014,,,,,,
a010017,Current developments in document delivery in Germany,Brammer, Markus,Dokumentlieferung,,,,,,,,
a010017,Current developments in document delivery in Germany,Olf, Jens,Dokumentlieferung,,2014,,,,,,
a010018,Das Kompetenzzentrum f�r nicht-textuelle Materialien an derTechnischen Informationsbibliothek,Plank, Margret,Nicht-Textuelle Materialen,,2014,,,,,,
a010018,Das Kompetenzzentrum f�r nicht-textuelle Materialien an derTechnischen Informationsbibliothek,Rosemann, Uwe,Nicht-Textuelle Materialen,,2014,,,,,,
a010019,Das Netzwerk und die Institution,Heller, Lambert,Publizieren,,2011,32nd IATUL Conference Libraries for an open enviroment: Strategies, technologies and partnerships.,,,,
a01002,3D-printing with GRASS GIS � a work in progress in report,L�we, Peter,3D Druck,GIS,2013,"Fr�hjahrstagung der Fachgruppe 8 im Verband deutscher Archivarinnen und Archivare e. V.; Karls-Universit�t Prag, Tschechische Republik",,,,,
a010020,Das RADAR Projekt ﾖ Research Data Repositorium,Kraft, Angelina,Forschungsdaten,,2014,,,,,,
a010020,Das RADAR Projekt ﾖ Research Data Repositorium,Neumann, Janna,Forschungsdaten,,2014,,,,,,
a010021,Das RADAR Projekt: Datenarchivierung und -publikation als Dienstleistung - disziplin�bergreifend, nachhaltig, kostendeckend,Neumann, Janna,Forschungsdaten,,2014,,,,
a010022,Data Science: History repeated ? The heritage of the Free and Open Source GIS Community,L�we, Peter,Data Science,GIS,2014,Fusion, Proceedings of the 32nd International Conference on Education and research in Computer Aided Architectural Design in Europe,,,,
a010023,DataCite and DOI names for research data,Brase, Jan,DataCite,DOI,2014,,,,,,
a010023,DataCite and DOI names for research data,Neumann, Janna,DataCite,DOI,2014,,,,,,
a010024,DataCite search,Brase, Jan,DataCite,DOI,2012,,,,,,
a010025,DataCite search - part 2,Brase, Jan,DataCite,DOI,2012,,,,,,
a010026,DataCite summer meeting and moving the blog,Brase, Jan,DataCite,DOI,2012,,,,,,
